"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"247";"一种带激光对位标记的阶梯钻头";"";"";"CN224600602U";"2025-07-07";"B23B51/00 
B23B51/12 
B23Q17/24";"";"2026-08-07";"2026-08-07";"100746305";
"248";"一种数控四轴转台定位结构";"";"";"CN224601078U";"2025-08-27";"B23Q1/25 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100741407";
"249";"一种机械加工用冷却液循环装置";"";"";"CN224601176U";"2025-07-01";"B23Q11/10";"";"2026-08-07";"2026-08-07";"100740784";
"250";"一种扩大钻孔设备加工范围的工装";"";"";"CN224601051U";"2025-07-09";"B23Q3/02";"";"2026-08-07";"2026-08-07";"100741953";
"251";"一种用于铝材加工的定点切割装置";"";"";"CN224601093U";"2025-09-15";"B23Q1/25 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100745604";
"252";"一种车铣复合刀库链条与刀座";"";"";"CN224601122U";"2025-09-17";"B23Q3/155";"";"2026-08-07";"2026-08-07";"100741690";
"253";"一种转盘切割机防护机构";"";"";"CN224601168U";"2025-08-27";"B23D45/00 
B23D59/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100741899";
"254";"用于加工由塑料制成的光学工件、特别是眼镜镜片的机器";"";"";"CN122517687A";"2025-02-07";"B23C3/12 
B23Q11/08 
B23Q11/10 
B23Q3/06";"B24B13/0037 (EP) 
B29D11/00009 (EP) 
B29D11/00423 (EP) 
B29D11/00932 (EP)";"2026-08-07";"2026-08-07";"098656239";
"255";"WERKZEUGVERSCHLEISSÜBERWACHUNGSSYSTEM";"CHIRICO DAVIDE [IT] 
DI DONATO GIUSTINA [IT] 
GALLO NICOLA [IT] 
LEONE FABRIZIO [IT] 
METRANGOLO ALESSANDRA [IT]";"LEONARDO SPA [IT]";"EP4787094A1";"2025-01-31";"G05B19/4065 
G06N3/02";"G05B19/4065 (EP) 
G06N3/02 (EP) 
G06N3/045 (EP) 
G06N3/08 (EP) 
G06N3/084 (EP) 
G06N3/088 (EP) 
B23Q17/098 (EP) 
G05B2219/37337 (EP)";"2026-08-05";"2026-08-05";"095249141";
"256";"一种刀保持架定位治具";"";"";"CN224601047U";"2025-09-11";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100748629";
"257";"一种具备物料回收结构的数控车床";"";"";"CN224601134U";"2025-09-12";"B23Q7/00 
B23Q7/02";"";"2026-08-07";"2026-08-07";"100743416";
"258";"一种金属切削机床用切削液循环过滤装置";"";"";"CN224601175U";"2025-06-30";"B01D33/03 
B01D33/41 
B01D33/80 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100745431";
"259";"一种机械轴类零件同轴度校正加工工艺";"";"";"CN122518121A";"2026-06-29";"B23Q1/25 
B23Q11/00 
B23Q17/20";"";"2026-08-07";"2026-08-07";"100753145";
"260";"一种用于偏心零件加工的基准转移工艺方法";"";"";"CN122517975A";"2026-05-29";"B23P15/00 
B23Q17/22 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100756619";
"261";"一种断路器母排倒角机";"";"";"CN224600673U";"2025-09-10";"B23D79/00 
B23Q11/00 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100746743";
"262";"一种基于光栅投影图像处理的硬质合金刀具磨损监测方法及系统";"";"";"CN122523992A";"2026-05-14";"B23Q17/09 
G01B11/24 
G06T17/00 
G06T5/73";"";"2026-08-07";"2026-08-07";"100758001";
"263";"一种光伏设备加工用夹持结构";"";"";"CN224601030U";"2024-09-04";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100745679";
"264";"一种金属材料制作用开槽装置";"";"";"CN224600670U";"2025-08-29";"B23D79/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100746104";
"265";"防护支撑两用式充电链锯";"";"";"CN224600657U";"2025-08-01";"B23D57/02 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100736916";
"266";"一种多功能液压夹具及操作方法";"";"";"CN122518096A";"2026-06-23";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100757114";
"267";"一种加工中心钻孔液压夹具";"";"";"CN122518098A";"2026-07-09";"B23Q3/08 
B23Q3/18";"";"2026-08-07";"2026-08-07";"100769459";
"268";"一种直缝焊管无毛刺精密切割装置";"";"";"CN122517694A";"2026-05-06";"B23D19/00 
B23D21/00 
B23D33/02 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100757854";
"269";"一种自适应居中模块化电力金具加工弹性夹具";"";"";"CN122518083A";"2026-07-07";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100761019";
"270";"一种金属棒料分切装置";"";"";"CN224600674U";"2025-09-11";"B23D79/00 
B23Q3/08 
B23Q7/00 
B23Q7/10";"";"2026-08-07";"2026-08-07";"100735974";
"271";"一种紧固件加工用生产开孔装置及其加工方法";"";"";"CN122518061A";"2026-06-09";"B23P23/04 
B23Q11/10 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100760589";
"272";"THERMISCHE VERSCHIEBUNGSKOMPENSATION FÜR EDM-MASCHINE";"MONTI FILIPPO [IT] 
BONINI STEFANO [CH]";"AGIE CHARMILLES SA [CH]";"EP4787092A1";"2025-01-30";"G05B19/404";"B23H7/20 (EP) 
B23H9/006 (EP) 
G05B19/404 (EP) 
B23H1/00 (EP) 
B23H7/18 (EP) 
B23Q15/18 (EP) 
G05B2219/45221 (EP) 
G05B2219/49206 (EP) 
G05B2219/49207 (EP) 
G05B2219/49219 (EP)";"2026-08-05";"2026-08-05";"094476156";
"273";"一种磁铁加工用打孔装置";"";"";"CN224600573U";"2024-10-14";"B23B39/00 
B23Q1/26 
B23Q7/00 
B23Q7/14";"";"2026-08-07";"2026-08-07";"100740226";
"274";"中心出水数控机床松刀时旋转接头不动机构";"";"";"CN224601119U";"2025-07-01";"B23Q11/10 
B23Q3/155";"";"2026-08-07";"2026-08-07";"100740180";
"275";"一种腔体内侧焊缝重熔与磨削的自动化生产线";"";"";"CN122518142A";"2026-07-09";"B08B1/10 
B08B1/30 
B08B15/04 
B08B5/02 
B23K37/08 
B23Q41/00 
B24B21/00 
B24B21/18 
B24B53/10 
B24B55/08 
B25J11/00 
B25J9/00";"";"2026-08-07";"2026-08-07";"100755283";
"276";"一种钢带裁剪设备";"";"";"CN122518049A";"2026-06-26";"B23D33/00 
B23D33/02 
B23P23/02 
B23Q17/00";"";"2026-08-07";"2026-08-07";"100757148";
"277";"一种用于异形零件加工的立式车床夹具";"";"";"CN224601069U";"2025-08-11";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100735912";
"278";"一种可调节式数控机床导轨防护罩装置";"";"";"CN224601167U";"2025-08-18";"B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100736848";
"279";"一种机械零部件加工用自动定位装置";"";"";"CN224601055U";"2024-10-10";"B23Q1/25 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100740489";
"280";"AUTOMATISIERTE KALIBRIERUNG DES MITTELPUNKTS EINES WERKZEUGS";"MOON WHITNEY [US] 
FOSSETT RYAN [US] 
ROGERS TYLER [US] 
TEWELL RYAN [US] 
ABRAMS CHARLES ALLEN [US]";"BACA SYSTEMS LLC [US]";"EP4784339A1";"2023-09-26";"B23Q15/22 
B23Q17/22 
B23Q3/16 
B25J9/16 
G01B5/008 
G05B19/402";"B25J11/0055 (EP,US) 
B25J9/1664 (EP,US) 
B25J9/1692 (EP,US)";"2026-08-05";"2025-03-27";"095068236";
"281";"BELEUCHTUNGSMODUL, PRODUKTE UND SYSTEM";"SCHWARZ DANIEL L [US]";"BLACK & DECKER INC [US]";"EP4784946A1";"2023-09-26";"F21K9/20 
F21V15/01 
F21V31/00 
F21V7/04 
H05K7/20 
F21Y115/10";"B23Q17/2404 (US) 
B25F5/00 (EP) 
F21S9/02 (EP) 
F21V23/005 (EP,US) 
F21V33/0084 (EP,US) 
F21W2131/1005 (EP) 
F21Y2115/10 (EP,US)";"2026-08-05";"2025-03-27";"095202076";
"282";"一种铝型材加工用钻铣中心";"";"";"CN224601004U";"2025-09-12";"B23P23/02 
B23Q11/10 
B23Q17/00 
B23Q17/22 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100742079";
"283";"一种可调扩压器叶片组合加工定位装置";"";"";"CN122518064A";"2026-06-23";"B23K37/00 
B23K37/04 
B23P23/04 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100769338";
"284";"一种用于端子压接的自动积尘装置";"";"";"CN224600143U";"2025-07-24";"B01D46/10 
B01D46/52 
B01D46/76 
B08B15/04 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100747406";
"285";"一种车床工作台用供油检测报警装置";"";"";"CN224609536U";"2025-07-28";"B23Q11/00 
B23Q17/00 
G08B21/18 
G08B7/06";"";"2026-08-07";"2026-08-07";"100747247";
"286";"一种板带纵剪压宽度可调整设备";"";"";"CN122518126A";"2026-06-05";"B23D19/00 
B23D35/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100760546";
"287";"SYSTEM AND METHOD OF PREPARING A METAL OBJECT FOR MACHINING";"BIRMAN IDAN [IL]";"TECHJET AEROFOILS LTD [IL]";"WO2026163203A1";"2025-01-29";"B23Q3/06 
B23Q3/08";"B22D19/009 (EP,US) 
B22D25/02 (EP,US) 
B22D29/003 (EP,US) 
B22D31/002 (EP) 
B23P15/02 (EP,US) 
B22C9/22 (EP,US) 
B22D17/2076 (EP,US) 
B22D19/10 (EP,US) 
Y10T29/49799 (US) 
Y10T29/49812 (US) 
Y10T29/49989 (US)";"2026-08-06";"2025-08-12";"096661962";
"288";"自夹式旋转台";"";"";"CN224601101U";"2025-08-12";"B23Q1/25 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100741350";
"289";"一种冲压件加工用钻孔装置";"";"";"CN224601065U";"2025-07-31";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100749346";
"290";"一种加工调速单元、加工组件及加工方法";"";"";"CN122518132A";"2026-07-13";"B23Q15/08 
B23Q5/10";"";"2026-08-07";"2026-08-07";"100750380";
"291";"一种自适应复杂曲面铝铸件的柔性力控夹持装置及方法";"";"";"CN122518097A";"2026-07-07";"B23Q17/00 
B23Q17/24 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100750215";
"292";"机床刀具库及自动刀具更换装置的控制方法";"";"";"CN122518100A";"2025-02-06";"B23Q3/155 
B23Q3/16";"";"2026-08-07";"2026-08-07";"100766590";
"293";"一种多能场辅助单点金刚石车削装置及其加工方法";"";"";"CN122518077A";"2026-05-29";"B06B1/06 
B23B3/00 
B23P25/00 
B23Q15/22 
B28D1/16 
B28D7/00 
B28D7/02 
B28D7/04";"";"2026-08-07";"2026-08-07";"100763517";
"294";"一种金属制品加工的钻孔装置";"";"";"CN224600575U";"2025-08-11";"B23B39/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100743944";
"295";"一种医疗铸件产品自动定心旋转加工夹具";"";"";"CN224601115U";"2025-09-22";"B23Q16/02 
B23Q3/12";"";"2026-08-07";"2026-08-07";"100746763";
"296";"一种数控加工用夹具";"";"";"CN224601042U";"2025-08-18";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100735468";
"297";"一种高压泵体加工用低应力自适应夹具及精密装夹方法";"";"";"CN122518090A";"2026-07-03";"B23Q17/00 
B23Q17/09 
B23Q3/06 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100769393";
"298";"一种刮槽机及刮槽方法";"";"";"CN122518114A";"2026-06-17";"B23D79/02 
B23Q3/06 
B23Q7/04";"";"2026-08-07";"2026-08-07";"100754773";
"299";"一种导轨滑块加工工作站";"";"";"CN224601136U";"2025-07-17";"B23Q17/24 
B23Q7/04";"";"2026-08-07";"2026-08-07";"100736966";
"300";"一种扩涨模具的L型滑块加工用定位夹紧工装";"";"";"CN224601089U";"2025-09-12";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100741841";
"301";"一种新能源装配铝型材角码钻孔设备";"";"";"CN224601104U";"2025-08-22";"B23B41/00 
B23Q3/08 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100746730";
"302";"一种新型数控机床的传动润滑补充设备";"";"";"CN224601183U";"2025-08-27";"B23Q11/12";"";"2026-08-07";"2026-08-07";"100746562";
"303";"一种硬质合金加工冷却喷淋调节机构";"";"";"CN122518128A";"2026-06-23";"B23Q11/10";"";"2026-08-07";"2026-08-07";"100763938";
"304";"一种步进电机加工夹具";"";"";"CN224601053U";"2024-08-27";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100743836";
"305";"一种管状金属件表面车铣设备";"";"";"CN224600556U";"2024-09-13";"B23B25/00 
B23B5/08 
B23Q3/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100741079";
"306";"抽油机配件磨削机构";"";"";"CN224601025U";"2025-07-03";"B23Q1/46 
B23Q11/00 
B23Q11/08 
B23Q3/12 
B23Q5/26";"";"2026-08-07";"2026-08-07";"100742503";
"307";"一种带状工件同步加工装置";"";"";"CN224600578U";"2025-07-25";"B23B39/16 
B23Q1/01 
B23Q1/26 
B23Q3/08 
B23Q3/10 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100740120";
"308";"一种汽车零部件加工用切割装置";"";"";"CN224600632U";"2025-09-15";"B23D19/00 
B23D33/00 
B23D33/02 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100744216";
"309";"一种机械设备加工用固定夹具";"";"";"CN224601056U";"2024-12-16";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100736533";
"310";"一种圆环式传感器加工定位辅助工装";"";"";"CN224601029U";"2024-08-29";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100737840";
"311";"一种便于水管定位的切割设备";"";"";"CN224600636U";"2024-10-17";"B23D21/00 
B23D33/04 
B23Q5/10";"";"2026-08-07";"2026-08-07";"100736137";
"312";"一种滚珠丝杠二维温度场建模及热误差预测方法";"";"";"CN122518116A";"2026-05-14";"B23Q11/00 
G06F17/13 
G06F30/23 
G06F113/08 
G06F119/08";"";"2026-08-07";"2026-08-07";"100750635";
"313";"一种防护加固型重型立车刀库";"";"";"CN224601123U";"2025-09-18";"B23Q3/155";"";"2026-08-07";"2026-08-07";"100735844";
"314";"一种钢筋套丝机的切削液自动补充装置";"";"";"CN224600688U";"2025-06-12";"B23G1/44 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100741359";
